Form_id,TextListLen,TableIndex,SumDivider,JsonTable,ValueColumn,CCP,LTD
71,1,0,1,1,0,1979.0,4854.0
72,1,0,1,1,0,1441.0,4852.0
73,2,0,1,1,0,1988.0,5938.0
74,2,0,1,1,0,2807.0,5344.0
75,6,0,1,1,0,3903.0,6366.0
76,2,0,1,1,0,2622.0,6451.0
77,3,0,1,1,0,2611.0,6269.0
78,2,0,1,1,0,957.0,5034.0
79,5,2,1,1,0,1499.0,5487.0
80,7,0,1,1,0,340.0,5477.0
81,4,0,1,1,0,853.0,5475.0
82,5,0,1,1,0,1146.0,5749.0
83,8,1,1,1,0,1413.0,5739.0
84,2,0,1,1,0,348.0,5814.0
85,1,0,1,1,0,12280.0,36653.0
86,1,0,1,1,0,7685.0,32137.0
87,1,0,1,1,0,8730.0,34656.0
88,2,1,1,1,0,9269.0,35078.0
89,1,0,1,1,0,9253.0,35056.0
90,1,0,1,1,0,9027.0,36966.0
91,1,0,1,1,0,13228.0,37107.0
92,2,1,1,1,0,14968.0,37450.0
93,1,0,1,1,0,16966.0,39605.0
94,1,0,1,1,0,15663.0,39677.0
95,1,0,1,1,0,12970.0,42503.0
96,1,0,1,1,0,12930.0,44505.0
97,1,0,1,1,0,15831.0,48336.0
98,1,0,1,1,0,21155.0,41364.0
99,1,0,1,1,0,21658.0,41853.0
100,1,0,1,1,0,18322.0,42844.0
101,1,0,1,1,0,15393.0,43387.0
102,1,0,1,1,0,32542.0,24390.0
103,1,0,1,1,0,29357.0,24433.0
104,2,1,1,1,0,8764.0,5635.0
105,1,0,1,1,0,8884.0,5646.0
106,6,0,1,1,0,19652.0,17829.0
107,3,0,1,1,0,20431.0,18001.0
108,2,0,1,1,0,19382.0,18006.0
109,2,0,1,1,0,17988.0,18320.0
110,3,0,1,1,0,14395.0,18020.0
111,2,0,1,1,0,17178.0,18333.0
112,2,0,1,1,0,15229.0,18756.0
113,2,0,1,1,0,12905.0,18932.0
114,2,0,1,1,0,14657.0,18838.0
115,3,0,1,1,0,14940.0,18839.0
116,2,0,1,1,0,12584.0,16789.0
117,2,0,1,1,0,11289.0,16757.0
118,2,0,1,1,0,12380.0,16779.0
119,2,0,1,1,0,13695.0,16826.0
120,2,0,1,1,0,14356.0,16814.0
121,2,0,1,1,0,10694.0,17279.0
122,3,1,1,1,0,12986.0,13726.0
123,2,0,1,1,0,7019.0,7041.0
124,2,0,1,1,0,7640.0,7134.0
125,2,0,1,1,0,7042.0,6815.0
126,3,1,1,1,0,6064.0,6686.0
127,1,0,1,1,0,6606.0,17863.0
128,3,1,1,1,0,9446.0,18182.0
129,2,1,1,1,0,6815.0,15565.0
130,2,1,1,1,0,8609.0,15266.0
131,1,0,1,1,0,9243.0,16226.0
132,3,0,1,1,0,10422.0,16297.0
133,3,0,1,1,0,8181.0,16295.0
134,4,0,1,1,0,7144.0,17586.0
135,1,0,1,1,0,5474.0,18734.0
136,1,0,1,1,0,10511.0,18748.0
137,3,0,1,1,0,8859.0,18805.0
138,3,0,1,1,0,6935.0,19338.0
139,2,0,1,1,0,6600.0,14750.0
140,1,0,1,1,0,6522.0,14905.0
141,1,0,1,1,0,6892.0,14852.0
142,1,0,1,1,0,7774.0,14847.0
143,2,0,1,1,0,8116.0,14790.0
144,3,0,1,1,0,8101.0,14799.0
145,3,0,1,1,0,6673.0,14809.0
146,3,0,1,1,0,6467.0,14832.0
147,2,0,1,1,0,6163.0,14856.0
148,6,0,1,1,0,7264.0,24987.0
149,5,0,1,1,0,6864.0,24982.0
150,5,0,1,1,0,6667.0,25246.0
151,7,0,1,1,0,5872.0,25239.0
152,9,0,1,1,0,6385.0,25230.0
153,5,0,1,1,0,5660.0,25223.0
154,5,0,1,1,0,5663.0,26216.0
155,6,1,1,1,0,5325.0,26208.0
156,12,2,1,1,0,6520.0,26695.0
157,9,1,1,1,0,5738.0,27686.0
158,9,1,1,1,0,6525.0,30175.0
159,9,1,1,1,0,5666.0,30166.0
160,16,1,1,1,0,7408.0,31402.0
161,11,1,1,1,0,23975.0,29290.0
162,9,1,1,1,0,18914.0,24102.0
163,9,1,1,1,0,20785.0,24097.0
164,13,0,1,1,0,24352.0,24593.0
165,6,1,1,1,0,22856.0,24588.0
166,9,1,1,1,0,27183.0,26083.0
167,10,1,1,1,0,27904.0,26578.0
168,15,0,1,1,0,30089.0,27322.0
169,1,0,1,1,0,171.0,2087.0
170,2,1,1,1,0,166.0,1887.0
171,2,1,1,1,0,137.0,1199.0
172,2,1,1,1,0,126.0,1076.0
173,1,0,1,1,0,117.0,1046.0
174,1,0,1,1,0,123.0,938.0
175,1,0,1,1,0,108.0,773.0
176,1,0,1,1,0,126.0,776.0
177,1,0,1000,1,0,117.965,821.986
178,1,0,1000,1,0,119.133,715.178
179,1,0,1000,1,0,167.228,716.326
180,1,0,1000,1,0,144.538,617.637
181,1,0,1000,1,0,421.185,625.609
182,1,0,1000,1,0,533.495,625.372
183,1,0,1000,1,0,296.11,625.389
184,1,0,1000,1,0,617.368,975.328
