id,FormName,CIK,ValueDate,FilingDate,FormURL,ReportQuarter
146,d734823d10q,1163165,2019-03-31,2019-05-02,https://www.sec.gov/Archives/edgar/data/0001163165/000119312519134334/d734823d10q.htm,2019-01-01
147,d636257d10k,1163165,2018-12-31,2019-02-19,https://www.sec.gov/Archives/edgar/data/0001163165/000119312519043841/d636257d10k.htm,2018-10-01
148,gild-20231231,882095,2023-12-31,2024-02-23,https://www.sec.gov/Archives/edgar/data/0000882095/000088209524000007/gild-20231231.htm,2023-10-01
149,gild-20230930,882095,2023-09-30,2023-11-07,https://www.sec.gov/Archives/edgar/data/0000882095/000088209523000031/gild-20230930.htm,2023-07-01
150,gild-20230630,882095,2023-06-30,2023-08-04,https://www.sec.gov/Archives/edgar/data/0000882095/000088209523000025/gild-20230630.htm,2023-04-01
151,gild-20230331,882095,2023-03-31,2023-05-03,https://www.sec.gov/Archives/edgar/data/0000882095/000088209523000017/gild-20230331.htm,2023-01-01
152,gild-20221231,882095,2022-12-31,2023-02-22,https://www.sec.gov/Archives/edgar/data/0000882095/000088209523000007/gild-20221231.htm,2022-10-01
153,gild-20220930,882095,2022-09-30,2022-11-02,https://www.sec.gov/Archives/edgar/data/0000882095/000088209522000027/gild-20220930.htm,2022-07-01
154,gild-20220630,882095,2022-06-30,2022-08-08,https://www.sec.gov/Archives/edgar/data/0000882095/000088209522000019/gild-20220630.htm,2022-04-01
155,gild-20220331,882095,2022-03-31,2022-05-04,https://www.sec.gov/Archives/edgar/data/0000882095/000088209522000013/gild-20220331.htm,2022-01-01
156,gild-20211231,882095,2021-12-31,2022-02-23,https://www.sec.gov/Archives/edgar/data/0000882095/000088209522000007/gild-20211231.htm,2021-10-01
157,gild-20210930,882095,2021-09-30,2021-11-03,https://www.sec.gov/Archives/edgar/data/0000882095/000088209521000029/gild-20210930.htm,2021-07-01
158,gild-20210630,882095,2021-06-30,2021-08-05,https://www.sec.gov/Archives/edgar/data/0000882095/000088209521000021/gild-20210630.htm,2021-04-01
159,gild-20210331,882095,2021-03-31,2021-05-06,https://www.sec.gov/Archives/edgar/data/0000882095/000088209521000013/gild-20210331.htm,2021-01-01
160,gild-20201231,882095,2020-12-31,2021-02-25,https://www.sec.gov/Archives/edgar/data/0000882095/000088209521000008/gild-20201231.htm,2020-10-01
161,gild-20200930,882095,2020-09-30,2020-11-04,https://www.sec.gov/Archives/edgar/data/0000882095/000088209520000027/gild-20200930.htm,2020-07-01
162,gild-20200630,882095,2020-06-30,2020-08-06,https://www.sec.gov/Archives/edgar/data/0000882095/000088209520000019/gild-20200630.htm,2020-04-01
163,q120form10-q,882095,2020-03-31,2020-05-06,https://www.sec.gov/Archives/edgar/data/0000882095/000088209520000013/q120form10-q.htm,2020-01-01
164,a2019form10-k,882095,2019-12-31,2020-02-25,https://www.sec.gov/Archives/edgar/data/0000882095/000088209520000006/a2019form10-k.htm,2019-10-01
165,q319form10-q,882095,2019-09-30,2019-11-05,https://www.sec.gov/Archives/edgar/data/0000882095/000088209519000027/q319form10-q.htm,2019-07-01
166,q219form10-q,882095,2019-06-30,2019-08-06,https://www.sec.gov/Archives/edgar/data/0000882095/000088209519000020/q219form10-q.htm,2019-04-01
167,q119form10-q,882095,2019-03-31,2019-05-08,https://www.sec.gov/Archives/edgar/data/0000882095/000088209519000014/q119form10-q.htm,2019-01-01
